0 (number)	0 (число)
Astatine	Астат
Asteraceae	Астровые
Asteraceae	Категория:Сложноцветные
Asteroid	Астероид
Asteroid belt	Главный пояс астероидов
Asthenosphere	Астеносфера
Asthma	Бронхиальная астма
Astigmatism (eye)	Астигматизм (медицина)
Astrakhan	Астрахань
Astrobiology	Космическая биология
Astrolabe	Астролябия
Astrology	Астрология
Astrology	Категория:Астрология
Astrometry	Астрометрия
Astronaut	Космонавт
Astronomical unit	Астрономическая единица
Astronomy	Астрономия
Astronomy	Категория:Астрономия
Astronomy	Портал:Астрономия
Astrophysics	Астрофизика
Astrophysics	Категория:Астрофизика
Aswan	Асуан
Asymptote	Асимптота
Asynchronous Transfer Mode	ATM
Atacama Desert	Атакама
Aten	Атон
Atheism	Категория:Атеизм
Athena	Афина
Athens	Афины
Athletics	Категория:Лёгкая атлетика
Athletics (track and field)	Лёгкая атлетика
Atlanta	Атланта (Джорджия)
Atlantic Ocean	Атлантический океан
Atlantic Ocean	Категория:Атлантический океан
Atlantis	Атлантида
Atlas (disambiguation)	Атлас (значения)
Atlas (moon)	Атлас (спутник)
Atlas (mythology)	Атлант
Atlas Mountains	Атлас (горы)
Atmosphere (unit)	Атмосфера (единица измерения)
Atmospheric pressure	Атмосферное давление
Atoll	Атолл
Atom	Атом
Atomic clock	Атомные часы
Atomic mass	Атомная масса
Atomic mass unit	Атомная единица массы
Atomic number	Зарядовое число
Atomic physics	Категория:Атомная физика
Atreus	Атрей
Atropine	Атропин
Attica	Аттика
Attila the Hun	Аттила
Au	Ау
Auckland	Окленд (Новая Зеландия)
Auction	Аукцион
August	Август
August 1	1 августа
August 15	15 августа
August 6	6 августа
August Strindberg	Стриндберг, Юхан Август
Augusta	Огаста (Мэн)
Auguste Comte	Конт, Огюст
Auguste Rodin	Роден, Франсуа Огюст Рене
Augustine of Hippo	Аврелий Августин
Augustus	Октавиан Август
Auriga (constellation)	Возничий (созвездие)
Aurora	Аврора (значения)
Aurora (astronomy)	Полярное сияние
Austin	Остин (Техас)
Australasia	Австралазия
Australia	Австралия
Australia	Категория:Австралия
Australian dollar	Австралийский доллар
Australopithecus	Австралопитек
Austria	Австрия
Austria	Категория:Австрия
Austria-Hungary	Австро-Венгрия
Author	Автор
Authority	Авторитет
Autism	Аутизм
Auto racing	Автоспорт
Autobiography	Автобиография
Automated teller machine	Банкомат
Automobile	Автомобиль
Autonomic nervous system	Вегетативная нервная система
Autotroph	Продуценты
Autumn	Осень
Auvergne (region)	Овернь
Avalanche	Лавина
Avant-garde	Авангард (искусство)
Avatar	Аватара
Avena	Овёс
Averroes	Аверроэс
Avesta	Авеста
Aviation	Категория:Авиация
Aviation	Авиация
Avicenna	Авиценна
Avignon	Авиньон
Avocado	Авокадо
Avogadro's law	Закон Авогадро
Axe	Топор
Axiom	Аксиома
Axon	Аксон
Ayatollah	Аятолла
Ayn Rand	Рэнд, Айн
Azerbaijan	Азербайджан
Azerbaijan	Категория:Азербайджан
Azimuth	Азимут (геодезия)
Azores	Азорские острова
Aztec	Ацтеки
Azurite	Азурит
B	B (латиница)
BASIC	BASIC
Baal	Баал
Baboon	Павианы
Babylon	Вавилон
Backgammon	Нарды
Bacteria	Бактерии
Bacteria	Категория:Бактерии
Bacteriophage	Бактериофаги
Bactrian Camel	Бактриан
Badminton	Бадминтон
Baffin Bay	Море Баффина
Baffin Island	Баффинова Земля
Baghdad	Багдад
Bahamas	Категория:Багамы
Bahrain	Бахрейн
Bahrain	Категория:Бахрейн
Baja California	Нижняя Калифорния (штат)
Baklava	Пахлава
Baku	Баку
Balalaika	Балалайка
Balance sheet	Бухгалтерский баланс
Baldr	Бальдр
Balearic Islands	Балеарские острова
Baleen whale	Беззубые киты
Bali	Бали
Balkan Mountains	Балканские горы
Balkan Wars	Балканские войны
